"disaster.event","user.anon","date","lon","lat","user_date_freq"
"41_AuFire1",2064,2013-10-17,150.888884,-22.65547625,6
"41_AuFire1",2075,2013-10-17,151.2598905,-22.63585644,1
"41_AuFire1",2082,2013-10-17,150.695714,-22.63004305,3
"41_AuFire1",2088,2013-10-17,151.3574195,-22.33327875,1
"41_AuFire1",2121,2013-10-17,150.8464529,-22.65559962,1
"41_AuFire1",2131,2013-10-17,150.8564277,-22.65226884,1
"41_AuFire1",2164,2013-10-17,150.6690923,-22.62779601,1
"41_AuFire1",2168,2013-10-17,151.201234,-22.67596972,1
"41_AuFire1",2178,2013-10-17,150.8410141,-22.64496562,14
"41_AuFire1",2185,2013-10-17,151.3044429,-22.55542286,5
"41_AuFire1",2217,2013-10-17,151.0815002,-22.66985084,4
"41_AuFire1",2219,2013-10-17,150.2498333,-22.47748272,1
"41_AuFire1",2230,2013-10-17,150.906524,-22.64986185,2
"41_AuFire1",2274,2013-10-17,151.1813533,-22.67609591,8
"41_AuFire1",2277,2013-10-17,150.8022809,-22.50144086,9
"41_AuFire1",2278,2013-10-17,150.9894662,-22.58862744,2
"41_AuFire1",2283,2013-10-17,151.1122192,-22.65419561,13
"41_AuFire1",2293,2013-10-17,150.8211149,-22.43099151,1
"41_AuFire1",2297,2013-10-17,150.6874667,-22.64093533,11
"41_AuFire1",2311,2013-10-17,151.084864,-22.59988878,2
"41_AuFire1",2316,2013-10-17,150.9411453,-22.64731142,20
"41_AuFire1",2317,2013-10-17,150.3933568,-22.57759422,3
"41_AuFire1",2319,2013-10-17,150.9640455,-22.59926232,30
"41_AuFire1",2321,2013-10-17,150.690144,-22.62406372,4
"41_AuFire1",2323,2013-10-17,151.2788149,-22.61136297,1
"41_AuFire1",2334,2013-10-17,150.8339995,-22.61023691,3
"41_AuFire1",2359,2013-10-17,150.3424132,-22.59945912,2
"41_AuFire1",2372,2013-10-17,150.9828891,-22.67698716,2
"41_AuFire1",2387,2013-10-17,150.7709019,-22.67149743,4
"41_AuFire1",2406,2013-10-17,151.1793553,-22.67441664,2
"41_AuFire1",2409,2013-10-17,151.2855266,-22.6792686,1
"41_AuFire1",2411,2013-10-17,151.183492,-22.67595472,1
"41_AuFire1",2417,2013-10-17,151.1807771,-22.67750172,3
"41_AuFire1",2434,2013-10-17,150.8426275,-22.64939283,1
"41_AuFire1",2461,2013-10-17,151.3554184,-21.70161272,1
"41_AuFire1",2463,2013-10-17,151.291857,-22.31505788,1
"41_AuFire1",2466,2013-10-17,151.0035534,-22.61383084,1
"41_AuFire1",2470,2013-10-17,150.9859072,-22.61393916,3
"41_AuFire1",2477,2013-10-17,150.8913652,-22.62773212,3
"41_AuFire1",2482,2013-10-17,150.9014504,-22.38926735,1
"41_AuFire1",2505,2013-10-17,151.4346331,-22.16973184,4
"41_AuFire1",2513,2013-10-17,150.8423541,-22.65340997,1
"41_AuFire1",2523,2013-10-17,151.10856,-22.62228772,2
"41_AuFire1",2537,2013-10-17,151.4018103,-22.35286571,3
"41_AuFire1",2582,2013-10-17,151.3421415,-22.30536582,4
"41_AuFire1",2583,2013-10-17,151.119076,-22.65731672,1
"41_AuFire1",2591,2013-10-17,150.7900866,-22.65820292,2
"41_AuFire1",2598,2013-10-17,151.444371,-22.32655169,1
"41_AuFire1",2608,2013-10-17,151.4811404,-22.13488761,2
"41_AuFire1",2612,2013-10-17,151.2812665,-22.63801094,3
"41_AuFire1",2651,2013-10-17,151.2839431,-22.6790045,1
"41_AuFire1",2654,2013-10-17,151.0734845,-22.67328705,2
"41_AuFire1",2669,2013-10-17,151.3068536,-22.61823135,2
"41_AuFire1",2694,2013-10-17,151.3928247,-22.31670796,2
"41_AuFire1",2699,2013-10-17,151.1082042,-22.66764789,1
"41_AuFire1",2710,2013-10-17,150.6097277,-22.62243936,2
"41_AuFire1",2731,2013-10-17,151.2619517,-22.66450152,1
"41_AuFire1",2755,2013-10-17,151.1031448,-22.59035253,1
"41_AuFire1",2759,2013-10-17,150.7220234,-22.4620361,2
"41_AuFire1",2795,2013-10-17,150.7245937,-22.62092614,1
"41_AuFire1",2797,2013-10-17,150.6355206,-22.65511011,4
"41_AuFire1",2804,2013-10-17,151.0083626,-22.61419717,2
"41_AuFire1",2808,2013-10-17,151.2858094,-22.66981327,1
"41_AuFire1",2809,2013-10-17,150.8131129,-22.64144691,1
"41_AuFire1",2829,2013-10-17,150.8446562,-22.51313829,2
"41_AuFire1",2846,2013-10-17,150.8924032,-22.60509285,95
"41_AuFire1",2864,2013-10-17,150.8514506,-22.63814856,9
"41_AuFire1",2865,2013-10-17,151.088826,-22.65022332,4
"41_AuFire1",2884,2013-10-17,150.9996532,-22.58222732,1
"41_AuFire1",2895,2013-10-17,151.1632404,-22.59223975,1
"41_AuFire1",2896,2013-10-17,151.1517388,-22.62329402,2
"41_AuFire1",2897,2013-10-17,151.0693601,-22.59439151,14
"41_AuFire1",2900,2013-10-17,151.1988258,-22.41808733,3
"41_AuFire1",2914,2013-10-17,151.2935829,-22.64618008,1
"41_AuFire1",2925,2013-10-17,150.9102774,-22.64529904,1
"41_AuFire1",2935,2013-10-17,151.3116319,-22.37683369,1
"41_AuFire1",3004,2013-10-17,150.6938004,-22.63100512,2
"41_AuFire1",3009,2013-10-17,150.6961993,-22.62960251,1
"41_AuFire1",3011,2013-10-17,151.3440249,-22.31481488,13
"41_AuFire1",3012,2013-10-17,150.9609246,-22.61392304,4
"41_AuFire1",3019,2013-10-17,150.778543,-22.65140877,4
"41_AuFire1",3022,2013-10-17,151.2953249,-22.63206972,2
"41_AuFire1",3043,2013-10-17,150.7964598,-22.67149262,1
"41_AuFire1",3050,2013-10-17,151.2226519,-22.63719344,6
"41_AuFire1",3081,2013-10-17,151.0442948,-22.53125415,5
"41_AuFire1",3084,2013-10-17,150.8435069,-22.63784995,4
"41_AuFire1",3114,2013-10-17,151.3556726,-22.15651634,6
"41_AuFire1",3116,2013-10-17,151.4119725,-22.18823982,3
"41_AuFire1",3123,2013-10-17,151.0930495,-22.57317641,1
"41_AuFire1",3129,2013-10-17,150.5601404,-22.57536652,14
"41_AuFire1",3132,2013-10-17,151.0401606,-22.61699365,1
"41_AuFire1",3144,2013-10-17,150.839791,-22.64487642,1
"41_AuFire1",3148,2013-10-17,151.369132,-21.75578902,1
"41_AuFire1",3152,2013-10-17,151.4638306,-22.25190204,3
"41_AuFire1",3171,2013-10-17,151.4190644,-22.34993557,3
"41_AuFire1",3186,2013-10-17,151.1022117,-22.5795792,1
"41_AuFire1",3198,2013-10-17,151.2399695,-22.63325099,1
"41_AuFire1",3222,2013-10-17,151.1495581,-22.61452489,1
"41_AuFire1",3233,2013-10-17,150.7239662,-22.59732583,1
"41_AuFire1",3234,2013-10-17,151.0051512,-22.61401862,2
"41_AuFire1",3235,2013-10-17,150.8837273,-22.6308879,1
"41_AuFire1",3244,2013-10-17,151.4333464,-22.21461442,1
"41_AuFire1",3264,2013-10-17,150.9584125,-22.64473397,1
"41_AuFire1",3275,2013-10-17,151.1109352,-22.65220909,1
"41_AuFire1",3281,2013-10-17,151.2917584,-22.63004409,3
"41_AuFire1",3282,2013-10-17,151.1161834,-22.66332712,2
"41_AuFire1",3284,2013-10-17,151.1170607,-22.60251411,3
"41_AuFire1",3287,2013-10-17,151.4981294,-22.09266361,28
"41_AuFire1",3288,2013-10-17,150.9794181,-22.6696004,1
"41_AuFire1",3291,2013-10-17,151.2955922,-22.58431262,1
"41_AuFire1",3293,2013-10-17,151.350236,-22.27332949,3
"41_AuFire1",3297,2013-10-17,151.1262802,-22.63593838,1
"41_AuFire1",3305,2013-10-17,151.2754411,-22.63366082,1
"41_AuFire1",3316,2013-10-17,150.9642654,-22.6660728,14
"41_AuFire1",3317,2013-10-17,151.27333,-22.67684272,1
"41_AuFire1",3318,2013-10-17,150.631232,-22.40860172,1
"41_AuFire1",3327,2013-10-17,150.8381141,-22.65309912,3
"41_AuFire1",3328,2013-10-17,150.8847255,-22.63715784,1
"41_AuFire1",3342,2013-10-17,151.29657,-22.63330272,2
"41_AuFire1",3345,2013-10-17,151.2514113,-22.67549211,1
"41_AuFire1",3361,2013-10-17,151.380127,-22.33013198,1
"41_AuFire1",3367,2013-10-17,150.8439976,-22.6650303,4
"41_AuFire1",3374,2013-10-17,150.6644639,-22.43310964,1
"41_AuFire1",3382,2013-10-17,150.8045464,-22.67709835,1
"41_AuFire1",3383,2013-10-17,151.1111936,-22.57485896,1
"41_AuFire1",3421,2013-10-17,151.0178145,-22.57491169,2
"41_AuFire1",3425,2013-10-17,150.7578912,-22.63898738,10
"41_AuFire1",3426,2013-10-17,151.1453104,-22.6781486,2
"41_AuFire1",3430,2013-10-17,150.6742394,-22.66621515,1
"41_AuFire1",3455,2013-10-17,151.2626094,-22.65039665,1
"41_AuFire1",3461,2013-10-17,151.2044411,-22.61897427,8
"41_AuFire1",3479,2013-10-17,151.2161636,-22.67425238,1
"41_AuFire1",3480,2013-10-17,151.3236849,-22.36501765,2
"41_AuFire1",3493,2013-10-17,150.8360979,-22.58183392,1
"41_AuFire1",3506,2013-10-17,151.1364184,-21.43016902,2
"41_AuFire1",3535,2013-10-17,151.391557,-22.31695972,1
"41_AuFire1",3578,2013-10-17,151.3130856,-22.40272227,1
"41_AuFire1",3589,2013-10-17,150.8305729,-22.61158349,2
"41_AuFire1",3599,2013-10-17,151.009642,-22.61187544,1
"41_AuFire1",3608,2013-10-17,150.8582695,-22.61551712,2
"41_AuFire1",3618,2013-10-17,150.9114487,-22.66387081,4
"41_AuFire1",3636,2013-10-17,151.288507,-22.67689472,1
"41_AuFire1",3639,2013-10-17,150.1509616,-22.39375473,3
"41_AuFire1",3654,2013-10-17,151.280488,-22.66161122,1
"41_AuFire1",3655,2013-10-17,151.3068536,-22.61823135,2
"41_AuFire1",3661,2013-10-17,151.4782177,-22.27624037,1
"41_AuFire1",3662,2013-10-17,151.1198514,-22.53842206,1
"41_AuFire1",3667,2013-10-17,151.2874604,-22.67459287,1
"41_AuFire1",3671,2013-10-17,150.917978,-22.67454998,1
"41_AuFire1",3690,2013-10-17,150.7835315,-22.60334853,2
"41_AuFire1",3693,2013-10-17,150.9497541,-22.66760491,1
"41_AuFire1",3697,2013-10-17,151.243308,-22.63109187,1
"41_AuFire1",3713,2013-10-17,150.9380416,-22.6362299,2
"41_AuFire1",3715,2013-10-17,151.2726832,-22.62545915,1
"41_AuFire1",3721,2013-10-17,151.1979534,-22.66649824,1
"41_AuFire1",3736,2013-10-17,151.18468,-22.67505272,1
"41_AuFire1",3744,2013-10-17,150.5783919,-22.56934815,1
